"Date","State","Employed_Persons"
"Mar-1985","Western.Australia",617.9
"Mar-1985","Tasmania",183.5
"Mar-1985","Northern.Territory",64.4
"Mar-1985","Australian.Capital.Territory",119
"Apr-1985","New.South.Wales",2260
"Apr-1985","Victoria",1743.1
"Apr-1985","Queensland",1021.7
"Apr-1985","South.Australia",577.3
"Apr-1985","Western.Australia",619
"Apr-1985","Tasmania",181.6
"Apr-1985","Northern.Territory",66.4
"Apr-1985","Australian.Capital.Territory",119.8
"May-1985","New.South.Wales",2275.9
"May-1985","Victoria",1765.8
"May-1985","Queensland",1041.9
"May-1985","South.Australia",582.4
"May-1985","Western.Australia",623
"May-1985","Tasmania",183.1
"May-1985","Northern.Territory",67
"May-1985","Australian.Capital.Territory",118.8
"Jun-1985","New.South.Wales",2267
"Jun-1985","Victoria",1767.8
"Jun-1985","Queensland",1051.5
"Jun-1985","South.Australia",584
"Jun-1985","Western.Australia",623.7
"Jun-1985","Tasmania",180
"Jun-1985","Northern.Territory",65.8
"Jun-1985","Australian.Capital.Territory",119.7
"Jul-1985","New.South.Wales",2279.9
"Jul-1985","Victoria",1795.9
"Jul-1985","Queensland",1053.9
"Jul-1985","South.Australia",584.8
"Jul-1985","Western.Australia",622.4
"Jul-1985","Tasmania",180.7
"Jul-1985","Northern.Territory",65.6
"Jul-1985","Australian.Capital.Territory",120.2
"Aug-1985","New.South.Wales",2268.7
"Aug-1985","Victoria",1786.2
"Aug-1985","Queensland",1058.7
"Aug-1985","South.Australia",573.9
"Aug-1985","Western.Australia",622.1
"Aug-1985","Tasmania",177.4
"Aug-1985","Northern.Territory",68.3
"Aug-1985","Australian.Capital.Territory",120.3
"Sep-1985","New.South.Wales",2324.7
